
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
3.93714793e-02, 2.32862923e-02, 5.99999970e-04, -1.55238986e+00, 1.32776469e-01, -1.62325621e-01
3.98494191e-02, 2.21433491e-02, 5.99999970e-04, 4.49718386e-01, 1.53947681e-01, -1.46326020e-01
4.04751450e-02, 2.27521732e-02, 5.99999970e-04, -2.78461242e+00, 1.51288971e-01, -1.43637955e-01
4.03294452e-02, 2.34580636e-02, 5.99999970e-04, -4.48887157e+00, 1.38979614e-01, -1.51184067e-01
3.88793573e-02, 2.20461898e-02, 5.99999970e-04, 3.79281688e+00, 1.47230595e-01, -1.57229662e-01
3.82960364e-02, 2.32441183e-02, 5.99999970e-04, 2.32816362e+00, 1.25047296e-01, -1.70502603e-01
8.52286741e-02, 4.95377555e-02, 5.99999970e-04, 1.61727562e+01, 5.43996468e-02, -1.52194843e-01
8.42213109e-02, 4.95450422e-02, 5.99999970e-04, 1.66746922e+01, 5.42614311e-02, -1.52082548e-01
8.42408687e-02, 4.86339591e-02, 5.99999970e-04, 1.64935875e+01, 5.60758263e-02, -1.51890233e-01
8.52504745e-02, 4.86133210e-02, 5.99999970e-04, 1.60172253e+01, 5.65126091e-02, -1.51892394e-01
8.32372457e-02, 4.86476645e-02, 5.99999970e-04, 1.69409466e+01, 5.58212213e-02, -1.51440591e-01
8.32179189e-02, 4.95713875e-02, 5.99999970e-04, 1.71510658e+01, 5.42652905e-02, -1.51412532e-01
2.80970871e-01, 3.44988815e-02, 5.99999970e-04, 2.07015438e+01, 9.18891728e-02, 1.75313838e-02
2.80164421e-01, 3.49071622e-02, 5.99999970e-04, 2.05514297e+01, 9.57009941e-02, 1.83165912e-02
2.79223412e-01, 3.38498875e-02, 5.99999970e-04, 2.02849045e+01, 9.38459486e-02, 1.56291313e-02
2.80381858e-01, 3.34492177e-02, 5.99999970e-04, 2.04077415e+01, 8.87240320e-02, 1.47748850e-02
3.11912507e-01, 7.32867867e-02, 5.99999970e-04, 2.13249931e+01, 4.91266139e-02, 5.70200942e-02
3.12497348e-01, 7.31276497e-02, 5.99999970e-04, 2.12260342e+01, 4.87958193e-02, 5.63022047e-02
3.13018560e-01, 7.39039481e-02, 5.99999970e-04, 2.11775894e+01, 5.09968102e-02, 5.56039438e-02
3.11943054e-01, 7.38002807e-02, 5.99999970e-04, 2.13317909e+01, 5.07996790e-02, 5.66942431e-02
3.13905090e-01, 7.37048313e-02, 5.99999970e-04, 2.09993362e+01, 5.07433452e-02, 5.45589402e-02
3.13406259e-01, 7.29204118e-02, 5.99999970e-04, 2.10578098e+01, 4.83619384e-02, 5.53041399e-02
3.11952293e-01, 7.24076480e-02, 5.99999970e-04, 2.12817421e+01, 4.70171534e-02, 5.70797734e-02
3.12877774e-01, 7.21175149e-02, 5.99999970e-04, 2.11235733e+01, 4.63942476e-02, 5.60133234e-02
3.11288506e-01, 7.28629157e-02, 5.99999970e-04, 2.13919582e+01, 4.80955243e-02, 5.78028858e-02
3.11149359e-01, 7.36672208e-02, 5.99999970e-04, 2.14524670e+01, 5.01090959e-02, 5.77912293e-02
3.30830634e-01, 8.40508565e-02, 5.99999970e-04, 1.69227600e+01, 1.25228286e-01, 3.24443765e-02
3.29809159e-01, 8.42514038e-02, 5.99999970e-04, 1.73245907e+01, 1.24928750e-01, 3.20460349e-02
3.29520881e-01, 8.32711384e-02, 5.99999970e-04, 1.74577255e+01, 1.18356653e-01, 3.33552323e-02
3.30443203e-01, 8.29646140e-02, 5.99999970e-04, 1.71770153e+01, 1.17455781e-01, 3.38121764e-02
3.30950111e-01, 8.52528661e-02, 5.99999970e-04, 1.68433113e+01, 1.32766634e-01, 3.07591874e-02
