
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ]
2.89841741e-01, 1.88963078e-02, 5.99999970e-04
2.90363997e-01, 1.81364100e-02, 5.99999970e-04
2.90953845e-01, 1.91026088e-02, 5.99999970e-04
2.90211380e-01, 1.95408016e-02, 5.99999970e-04
2.89319962e-01, 1.83487348e-02, 5.99999970e-04
2.89498061e-01, 1.76504739e-02, 5.99999970e-04
2.89040953e-01, 1.94144286e-02, 5.99999970e-04
2.88753569e-01, 1.88016295e-02, 5.99999970e-04
2.89328426e-01, 2.01176535e-02, 5.99999970e-04
2.76002824e-01, 5.17945625e-02, 5.99999970e-04
2.76257217e-01, 5.26154339e-02, 5.99999970e-04
2.75329769e-01, 5.27444556e-02, 5.99999970e-04
2.75153100e-01, 5.18993065e-02, 5.99999970e-04
2.75333524e-01, 5.35892993e-02, 5.99999970e-04
2.76003182e-01, 5.36678173e-02, 5.99999970e-04
2.76997149e-01, 5.32291532e-02, 5.99999970e-04
2.76672333e-01, 5.38207926e-02, 5.99999970e-04
2.98987508e-01, 6.72921017e-02, 5.99999970e-04
2.99727708e-01, 6.69615343e-02, 5.99999970e-04
3.00074697e-01, 6.78835064e-02, 5.99999970e-04
2.99195290e-01, 6.80800527e-02, 5.99999970e-04
2.99953848e-01, 6.89639896e-02, 5.99999970e-04
2.99271166e-01, 6.89307302e-02, 5.99999970e-04
3.00837725e-01, 6.83120266e-02, 5.99999970e-04
3.00654888e-01, 6.90860599e-02, 5.99999970e-04
2.84299821e-01, 2.88037658e-02, 5.99999970e-04
2.84540355e-01, 2.81468779e-02, 5.99999970e-04
2.85214305e-01, 2.79866476e-02, 5.99999970e-04
2.85588443e-01, 2.86684483e-02, 5.99999970e-04
2.83386439e-01, 2.80007645e-02, 5.99999970e-04
2.83035159e-01, 2.91129928e-02, 5.99999970e-04
2.82500088e-01, 2.81979330e-02, 5.99999970e-04
2.84124613e-01, 2.76373625e-02, 5.99999970e-04
