
[Name]
FLUENT PT for Anthracite

[Data]
X [ m ], Y [ m ], Z [ m ], Anthracite.Particle ID, Anthracite.Particle Time [ s ], Anthracite.Particle X Velocity [ m s^-1 ], Anthracite.Particle Y Velocity [ m s^-1 ], Pressure [ Pa ]
1.04840800e-01, 8.29430878e-01, 0.00000000e+00, 2.00000000e+00, 5.01999998e+00, -6.09850399e-02, 2.22783893e-01, -7.84448832e-02
1.03614800e-01, 8.33911777e-01, 0.00000000e+00, 2.00000000e+00, 5.03999996e+00, -6.19919002e-02, 2.26576701e-01, -8.00984204e-02
1.02369100e-01, 8.38464379e-01, 0.00000000e+00, 2.00000000e+00, 5.05999994e+00, -6.31341264e-02, 2.30301306e-01, -8.18336755e-02
1.01103999e-01, 8.43080580e-01, 0.00000000e+00, 2.00000000e+00, 5.07999992e+00, -6.40159175e-02, 2.33226001e-01, -8.37376416e-02
9.98194218e-02, 8.47759485e-01, 0.00000000e+00, 2.00000000e+00, 5.09999990e+00, -6.50978386e-02, 2.36540705e-01, -8.57247859e-02
9.85140502e-02, 8.52501929e-01, 0.00000000e+00, 2.00000000e+00, 5.11999989e+00, -6.54562116e-02, 2.37744406e-01, -8.78692642e-02
9.71876383e-02, 8.57307494e-01, 0.00000000e+00, 2.00000000e+00, 5.13999987e+00, -6.70599118e-02, 2.42381305e-01, -9.01440978e-02
9.58400890e-02, 8.62171590e-01, 0.00000000e+00, 2.00000000e+00, 5.15999985e+00, -6.77561015e-02, 2.44152203e-01, -9.25934613e-02
9.44648311e-02, 8.67106676e-01, 0.00000000e+00, 2.00000000e+00, 5.17999983e+00, -6.95481300e-02, 2.48735204e-01, -9.52092782e-02
9.30684209e-02, 8.72095108e-01, 0.00000000e+00, 2.00000000e+00, 5.19999981e+00, -7.01710284e-02, 2.50275612e-01, -9.80766490e-02
9.16476697e-02, 8.77142608e-01, 0.00000000e+00, 2.00000000e+00, 5.21999979e+00, -7.19344988e-02, 2.54357189e-01, -1.01159900e-01
9.02025178e-02, 8.82244885e-01, 0.00000000e+00, 2.00000000e+00, 5.23999977e+00, -7.31864870e-02, 2.57337898e-01, -1.04527369e-01
8.87384266e-02, 8.87393594e-01, 0.00000000e+00, 2.00000000e+00, 5.26000023e+00, -7.32219592e-02, 2.57524312e-01, -1.08129263e-01
8.72614682e-02, 8.92572105e-01, 0.00000000e+00, 2.00000000e+00, 5.28000021e+00, -7.43908808e-02, 2.60107189e-01, -1.11994311e-01
8.57603177e-02, 8.97800982e-01, 0.00000000e+00, 2.00000000e+00, 5.30000019e+00, -7.54503906e-02, 2.62750089e-01, -1.16176285e-01
8.42538923e-02, 9.03056085e-01, 0.00000000e+00, 2.00000000e+00, 5.32000017e+00, -7.51610622e-02, 2.62755394e-01, -1.20667234e-01
8.27439576e-02, 9.08324897e-01, 0.00000000e+00, 2.00000000e+00, 5.34000015e+00, -7.58317709e-02, 2.64122188e-01, -1.25457659e-01
8.12416896e-02, 9.13601875e-01, 0.00000000e+00, 2.00000000e+00, 5.36000013e+00, -7.43251294e-02, 2.63534993e-01, -1.30564421e-01
7.97803476e-02, 9.18858528e-01, 0.00000000e+00, 2.00000000e+00, 5.38000011e+00, -7.14661479e-02, 2.61902601e-01, -1.36044353e-01
7.83649683e-02, 9.24087882e-01, 0.00000000e+00, 2.00000000e+00, 5.40000010e+00, -7.00412020e-02, 2.61013210e-01, -1.41472280e-01
7.70353004e-02, 9.29259479e-01, 0.00000000e+00, 2.00000000e+00, 5.42000008e+00, -6.42428324e-02, 2.57042795e-01, -1.47200152e-01
7.58061334e-02, 9.34360623e-01, 0.00000000e+00, 2.00000000e+00, 5.44000006e+00, -5.91761209e-02, 2.53428400e-01, -1.52385667e-01
7.47821778e-02, 9.39308703e-01, 0.00000000e+00, 2.00000000e+00, 5.46000004e+00, -4.00244705e-02, 2.40323797e-01, -1.57587364e-01
7.40062594e-02, 9.44099784e-01, 0.00000000e+00, 2.00000000e+00, 5.48000002e+00, -3.74657996e-02, 2.38722995e-01, -1.60846919e-01
7.35735223e-02, 9.48661983e-01, 0.00000000e+00, 2.00000000e+00, 5.50000000e+00, -1.96125801e-03, 2.16474995e-01, -1.63367659e-01
7.35946596e-02, 9.52959120e-01, 0.00000000e+00, 2.00000000e+00, 5.51999998e+00, 6.02544704e-03, 2.12189898e-01, -1.63101390e-01
7.42475614e-02, 9.56902802e-01, 0.00000000e+00, 2.00000000e+00, 5.53999996e+00, 5.24721593e-02, 1.86401099e-01, -1.60634205e-01
7.56935403e-02, 9.60444093e-01, 0.00000000e+00, 2.00000000e+00, 5.55999994e+00, 9.48901474e-02, 1.66917205e-01, -1.55495375e-01
7.80069381e-02, 9.63584304e-01, 0.00000000e+00, 2.00000000e+00, 5.57999992e+00, 1.36683702e-01, 1.46948501e-01, -1.45820871e-01
8.13598111e-02, 9.66303408e-01, 0.00000000e+00, 2.00000000e+00, 5.59999990e+00, 2.07599998e-01, 1.22817799e-01, -1.33751720e-01
8.55184272e-02, 9.68756616e-01, 0.00000000e+00, 2.00000000e+00, 5.61999989e+00, 2.08261698e-01, 1.22509398e-01, -1.22256272e-01
9.08070877e-02, 9.70796227e-01, 0.00000000e+00, 2.00000000e+00, 5.63999987e+00, 2.88888097e-01, 9.44176689e-02, -1.08548708e-01
9.71695408e-02, 9.72516298e-01, 0.00000000e+00, 2.00000000e+00, 5.65999985e+00, 3.22520196e-01, 8.50765109e-02, -9.56448764e-02
1.04693897e-01, 9.73910272e-01, 0.00000000e+00, 2.00000000e+00, 5.67999983e+00, 4.06333089e-01, 6.36941269e-02, -8.29655975e-02
1.13394000e-01, 9.75018919e-01, 0.00000000e+00, 2.00000000e+00, 5.69999981e+00, 4.65791702e-01, 4.98807915e-02, -7.13435933e-02
1.23063102e-01, 9.75916028e-01, 0.00000000e+00, 2.00000000e+00, 5.71999979e+00, 5.11393428e-01, 4.01475802e-02, -6.11634478e-02
1.33556902e-01, 9.76655900e-01, 0.00000000e+00, 2.00000000e+00, 5.73999977e+00, 5.50896406e-01, 3.17980796e-02, -5.24501950e-02
1.44785896e-01, 9.77246583e-01, 0.00000000e+00, 2.00000000e+00, 5.76000023e+00, 5.82517624e-01, 2.55740806e-02, -4.51124758e-02
1.56620204e-01, 9.77731824e-01, 0.00000000e+00, 2.00000000e+00, 5.78000021e+00, 6.09299779e-01, 2.11926904e-02, -3.90157886e-02
1.68988302e-01, 9.78131294e-01, 0.00000000e+00, 2.00000000e+00, 5.80000019e+00, 6.35769427e-01, 1.71782207e-02, -3.40195633e-02
1.81842506e-01, 9.78456080e-01, 0.00000000e+00, 2.00000000e+00, 5.82000017e+00, 6.56682312e-01, 1.42669398e-02, -3.00043821e-02
1.95080295e-01, 9.78726089e-01, 0.00000000e+00, 2.00000000e+00, 5.84000015e+00, 6.71870589e-01, 1.22010196e-02, -2.70124152e-02
2.08645999e-01, 9.78949010e-01, 0.00000000e+00, 2.00000000e+00, 5.86000013e+00, 6.87393486e-01, 9.82119422e-03, -2.48100404e-02
2.22503006e-01, 9.79132473e-01, 0.00000000e+00, 2.00000000e+00, 5.88000011e+00, 7.02491224e-01, 7.99760036e-03, -2.33058613e-02
2.36592397e-01, 9.79286671e-01, 0.00000000e+00, 2.00000000e+00, 5.90000010e+00, 7.10304022e-01, 6.99971803e-03, -2.25032363e-02
2.50854909e-01, 9.79419172e-01, 0.00000000e+00, 2.00000000e+00, 5.92000008e+00, 7.17186391e-01, 6.14743214e-03, -2.22114678e-02
2.65292287e-01, 9.79530811e-01, 0.00000000e+00, 2.00000000e+00, 5.94000006e+00, 7.28639305e-01, 4.77285497e-03, -2.24983878e-02
2.79902011e-01, 9.79621828e-01, 0.00000000e+00, 2.00000000e+00, 5.96000004e+00, 7.33446479e-01, 4.23015514e-03, -2.33030971e-02
2.94629812e-01, 9.79699790e-01, 0.00000000e+00, 2.00000000e+00, 5.98000002e+00, 7.41464019e-01, 3.34513211e-03, -2.45727487e-02
3.09482813e-01, 9.79764283e-01, 0.00000000e+00, 2.00000000e+00, 6.00000000e+00, 7.44886279e-01, 2.99408101e-03, -2.62626577e-02
3.24418813e-01, 9.79820371e-01, 0.00000000e+00, 2.00000000e+00, 6.01999998e+00, 7.50673890e-01, 2.41422490e-03, -2.83090919e-02
3.39449286e-01, 9.79867220e-01, 0.00000000e+00, 2.00000000e+00, 6.03999996e+00, 7.53239512e-01, 2.18302710e-03, -3.06845047e-02
3.54543090e-01, 9.79908288e-01, 0.00000000e+00, 2.00000000e+00, 6.05999994e+00, 7.57550776e-01, 1.79922197e-03, -3.33271101e-02
3.69707793e-01, 9.79943275e-01, 0.00000000e+00, 2.00000000e+00, 6.07999992e+00, 7.59502828e-01, 1.64679706e-03, -3.62055153e-02
3.84921789e-01, 9.79974508e-01, 0.00000000e+00, 2.00000000e+00, 6.09999990e+00, 7.62835324e-01, 1.39172398e-03, -3.92654538e-02
4.00191486e-01, 9.80001628e-01, 0.00000000e+00, 2.00000000e+00, 6.11999989e+00, 7.65290797e-01, 1.22844905e-03, -4.24662903e-02
4.15507108e-01, 9.80025709e-01, 0.00000000e+00, 2.00000000e+00, 6.13999987e+00, 7.67105877e-01, 1.12515001e-03, -4.57600653e-02
4.30860609e-01, 9.80047703e-01, 0.00000000e+00, 2.00000000e+00, 6.15999985e+00, 7.68437207e-01, 1.06162298e-03, -4.90966737e-02
4.46248204e-01, 9.80068088e-01, 0.00000000e+00, 2.00000000e+00, 6.17999983e+00, 7.70718098e-01, 9.58022079e-04, -5.24222143e-02
4.61673409e-01, 9.80086982e-01, 0.00000000e+00, 2.00000000e+00, 6.19999981e+00, 7.71889806e-01, 9.20337392e-04, -5.56910783e-02
4.77129310e-01, 9.80104804e-01, 0.00000000e+00, 2.00000000e+00, 6.21999979e+00, 7.73909926e-01, 8.52896017e-04, -5.88255972e-02
4.92618799e-01, 9.80121613e-01, 0.00000000e+00, 2.00000000e+00, 6.23999977e+00, 7.75811195e-01, 8.06009688e-04, -6.17928430e-02
5.08141577e-01, 9.80137706e-01, 0.00000000e+00, 2.00000000e+00, 6.26000023e+00, 7.76843905e-01, 7.91747472e-04, -6.44954368e-02
5.23690701e-01, 9.80153382e-01, 0.00000000e+00, 2.00000000e+00, 6.28000021e+00, 7.78643012e-01, 7.71305116e-04, -6.68940917e-02
5.39271295e-01, 9.80168819e-01, 0.00000000e+00, 2.00000000e+00, 6.30000019e+00, 7.79645979e-01, 7.66635989e-04, -6.88959807e-02
5.54877818e-01, 9.80184078e-01, 0.00000000e+00, 2.00000000e+00, 6.32000017e+00, 7.81406224e-01, 7.61019182e-04, -7.04253092e-02
5.70514500e-01, 9.80199277e-01, 0.00000000e+00, 2.00000000e+00, 6.34000015e+00, 7.82401621e-01, 7.60774303e-04, -7.14237466e-02
5.86177707e-01, 9.80214477e-01, 0.00000000e+00, 2.00000000e+00, 6.36000013e+00, 7.84154296e-01, 7.58825219e-04, -7.17448071e-02
6.01870596e-01, 9.80229616e-01, 0.00000000e+00, 2.00000000e+00, 6.38000011e+00, 7.85900772e-01, 7.51673884e-04, -7.13886023e-02
6.17594600e-01, 9.80244577e-01, 0.00000000e+00, 2.00000000e+00, 6.40000010e+00, 7.86886394e-01, 7.43589306e-04, -7.01395720e-02
