
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
4.99657601e-01, 4.90190744e-01, 4.99999989e-03, -3.34150791e-02, -2.10041672e-01, 5.41797429e-02
5.00123441e-01, 5.00154674e-01, 4.99999989e-03, -3.58375683e-02, -2.08354607e-01, 5.76187335e-02
4.90123868e-01, 4.99679059e-01, 4.99999989e-03, -3.55004929e-02, -2.04528049e-01, 6.64531216e-02
4.89619911e-01, 4.89620417e-01, 4.99999989e-03, -3.31192464e-02, -2.06246644e-01, 6.28754273e-02
5.10093033e-01, 5.00530958e-01, 4.99999989e-03, -3.61000337e-02, -2.12065041e-01, 4.84066606e-02
5.09665132e-01, 4.90520298e-01, 4.99999989e-03, -3.36351059e-02, -2.13712335e-01, 4.51001748e-02
5.00492871e-01, 5.10123730e-01, 4.99999989e-03, -3.83081920e-02, -2.06057698e-01, 6.11425489e-02
4.90482658e-01, 5.09672761e-01, 4.99999989e-03, -3.79247814e-02, -2.02215731e-01, 7.01020136e-02
5.10443509e-01, 5.10468423e-01, 4.99999989e-03, -3.86135541e-02, -2.09799573e-01, 5.17985933e-02
4.80431616e-01, 5.09210169e-01, 4.99999989e-03, -3.74810919e-02, -1.98254243e-01, 7.87179619e-02
4.80064392e-01, 4.99268144e-01, 4.99999989e-03, -3.51083130e-02, -2.00582445e-01, 7.49287456e-02
4.90829617e-01, 5.19680977e-01, 4.99999989e-03, -4.03988734e-02, -1.99286237e-01, 7.38200173e-02
5.00801980e-01, 5.20075381e-01, 4.99999989e-03, -4.08268459e-02, -2.03134105e-01, 6.47454783e-02
5.09234488e-01, 4.80452031e-01, 4.99999989e-03, -3.12170293e-02, -2.14772597e-01, 4.18469198e-02
4.99181896e-01, 4.80089575e-01, 4.99999989e-03, -3.10452674e-02, -2.11159661e-01, 5.07795773e-02
5.19664884e-01, 4.90894705e-01, 4.99999989e-03, -3.37771624e-02, -2.17251539e-01, 3.56292427e-02
5.20062387e-01, 5.00863016e-01, 4.99999989e-03, -3.62887345e-02, -2.15653777e-01, 3.88118662e-02
5.20408154e-01, 5.10796905e-01, 4.99999989e-03, -3.88451926e-02, -2.13429138e-01, 4.20781448e-02
4.89203960e-01, 4.79679942e-01, 4.99999989e-03, -3.08148358e-02, -2.07413748e-01, 5.93318790e-02
5.10808408e-01, 5.20414233e-01, 4.99999989e-03, -4.11796793e-02, -2.06900522e-01, 5.52723110e-02
4.79679167e-01, 4.89240259e-01, 4.99999989e-03, -3.27844024e-02, -2.02335536e-01, 7.11942837e-02
4.80798066e-01, 5.19235909e-01, 4.99999989e-03, -3.99115756e-02, -1.95330799e-01, 8.25478807e-02
5.19236505e-01, 4.80823249e-01, 4.99999989e-03, -3.13157625e-02, -2.18243316e-01, 3.25201526e-02
5.20774841e-01, 5.20746589e-01, 4.99999989e-03, -4.14587297e-02, -2.10561901e-01, 4.54300493e-02
4.79260117e-01, 4.79304343e-01, 4.99999989e-03, -3.05390134e-02, -2.03548700e-01, 6.75049052e-02
5.01102746e-01, 5.30041218e-01, 4.99999989e-03, -4.33838889e-02, -1.99575394e-01, 6.84011728e-02
4.91129816e-01, 5.29743791e-01, 4.99999989e-03, -4.29194160e-02, -1.95721507e-01, 7.75922015e-02
4.81087029e-01, 5.29338360e-01, 4.99999989e-03, -4.23872918e-02, -1.91785485e-01, 8.64177793e-02
4.98866677e-01, 4.70048875e-01, 4.99999989e-03, -2.87574716e-02, -2.11748496e-01, 4.73807976e-02
5.08880794e-01, 4.70329881e-01, 4.99999989e-03, -2.88712550e-02, -2.15283409e-01, 3.85987200e-02
5.18917739e-01, 4.70692635e-01, 4.99999989e-03, -2.89259888e-02, -2.18662754e-01, 2.94422656e-02
5.30350268e-01, 5.11127472e-01, 4.99999989e-03, -3.89969014e-02, -2.16928616e-01, 3.19952630e-02
5.30049443e-01, 5.01238048e-01, 4.99999989e-03, -3.63958925e-02, -2.19106689e-01, 2.88320221e-02
5.30623496e-01, 5.21041453e-01, 4.99999989e-03, -4.16535549e-02, -2.14096934e-01, 3.52552459e-02
5.11048198e-01, 5.30307174e-01, 4.99999989e-03, -4.37725820e-02, -2.03355938e-01, 5.88210560e-02
5.21027148e-01, 5.30582905e-01, 4.99999989e-03, -4.40843403e-02, -2.07039371e-01, 4.88740131e-02
5.29394627e-01, 4.81060416e-01, 4.99999989e-03, -3.13375778e-02, -2.21558839e-01, 2.27888636e-02
5.29722333e-01, 4.91191238e-01, 4.99999989e-03, -3.38405967e-02, -2.20643640e-01, 2.57659890e-02
4.69729573e-01, 4.88946140e-01, 4.99999989e-03, -3.24244983e-02, -1.98312327e-01, 7.91573673e-02
4.70024496e-01, 4.98835683e-01, 4.99999989e-03, -3.46844010e-02, -1.96517438e-01, 8.30604210e-02
4.69417095e-01, 4.79015440e-01, 4.99999989e-03, -3.02284211e-02, -1.99580580e-01, 7.53012896e-02
4.88935471e-01, 4.69758064e-01, 4.99999989e-03, -2.85928026e-02, -2.08073363e-01, 5.57890013e-02
4.78966773e-01, 4.69465524e-01, 4.99999989e-03, -2.83794310e-02, -2.04269856e-01, 6.38251454e-02
4.70627487e-01, 5.18985391e-01, 4.99999989e-03, -3.93818356e-02, -1.91251695e-01, 9.09564495e-02
4.70327318e-01, 5.08869767e-01, 4.99999989e-03, -3.70029211e-02, -1.94170952e-01, 8.69978666e-02
4.70908165e-01, 5.29065788e-01, 4.99999989e-03, -4.18024659e-02, -1.87741801e-01, 9.49172154e-02
5.29110134e-01, 4.70971674e-01, 4.99999989e-03, -2.89101191e-02, -2.21872538e-01, 1.98962819e-02
5.30833364e-01, 5.30832410e-01, 4.99999989e-03, -4.43145223e-02, -2.10610822e-01, 3.85893285e-02
4.69164878e-01, 4.69194740e-01, 4.99999989e-03, -2.81226914e-02, -2.00356036e-01, 7.14864358e-02
4.60472614e-01, 5.18624842e-01, 4.99999989e-03, -3.88103388e-02, -1.87080279e-01, 9.90009233e-02
