trajectory,frame,velocity_x,velocity_y,x,y
1,2,11,2,768,262
1,3,13,-3,781,259
1,4,17,-5,798,254
1,5,13,-2,811,252
1,6,7,0,818,252
1,7,4,0,822,252
1,8,3,-1,825,251
1,9,7,-1,832,250
1,10,2,4,834,254
1,11,-2,3,832,257
1,12,-2,3,830,260
1,13,-5,4,825,264
1,14,-7,3,818,267
1,15,-6,-1,812,266
1,16,-6,0,806,266
1,17,-8,-3,798,263
1,18,-8,-3,790,260
1,19,-9,-6,781,254
1,20,-11,-8,770,246
1,21,-8,-4,762,242
1,22,-11,-4,751,238
1,23,-7,-2,744,236
1,24,-8,0,736,236
1,25,-8,2,728,238
1,26,-6,2,722,240
1,27,-6,2,716,242
1,28,-6,6,710,248
1,29,-7,2,703,250
1,30,-9,3,694,253
1,31,-8,1,686,254
1,32,-8,2,678,256
1,33,-10,2,668,258
1,34,-10,-1,658,257
1,35,-6,0,652,257
1,36,-6,0,646,257
1,37,-6,0,640,257
1,38,-3,1,637,258
1,39,-6,2,631,260
1,40,-5,2,626,262
1,41,-4,4,622,266
1,42,-6,5,616,271
1,43,-6,5,610,276
1,44,-7,6,603,282
1,45,-5,7,598,289
1,46,-6,7,592,296
1,47,-3,8,589,304
1,48,-3,4,586,308
1,49,-2,8,584,316
1,50,0,4,584,320
1,51,-2,7,582,327
3,2,0,-1,636,315
3,3,2,1,638,316
3,4,4,0,642,316
3,5,4,2,646,318
3,6,5,0,651,318
3,7,7,0,658,318
3,8,6,-4,664,314
3,9,4,-4,668,310
3,10,4,-4,672,306
4,2,1,2,641,320
4,3,1,4,642,324
4,4,4,3,646,327
4,5,7,2,653,329
4,6,11,1,664,330
4,7,6,-3,670,327
5,2,4,9,646,324
5,3,8,4,654,328
5,4,4,4,658,332
5,5,14,-1,672,331
6,2,-7,-4,870,384
6,3,-6,-9,864,375
6,4,-6,-7,858,368
6,5,-4,-1,854,367
7,2,-6,-10,877,379
7,3,-6,-11,871,368
7,4,-2,-2,869,366
8,2,-19,-4,861,324
8,3,-17,-6,844,318
8,4,-16,-5,828,313
8,5,-17,-3,811,310
9,2,-4,4,972,342
9,3,-2,2,970,344
10,2,-3,-2,941,338
10,3,-7,-2,934,336
10,4,-3,1,931,337
10,5,-6,2,925,339
10,6,-7,4,918,343
10,7,-11,3,907,346
10,8,-8,4,899,350
10,9,-10,4,889,354
10,10,-13,2,876,356
10,11,-16,6,860,362
10,12,-14,6,846,368
10,13,-16,5,830,373
11,2,6,3,1065,335
11,3,4,3,1069,338
11,4,2,0,1071,338
11,5,6,2,1077,340
11,6,3,3,1080,343
11,7,5,1,1085,344
11,8,7,-4,1092,340
12,2,2,2,923,207
12,3,3,0,926,207
12,4,3,-1,929,206
12,5,2,3,931,209
12,6,-1,5,930,214
12,7,-1,8,929,222
12,8,-3,6,926,228
12,9,-1,10,925,238
12,10,-4,8,921,246
12,11,-5,10,916,256
12,12,-3,9,913,265
13,2,0,-1,1125,172
13,3,3,-3,1128,169
13,4,0,1,1128,170
13,5,4,2,1132,172
13,6,6,4,1138,176
13,7,8,4,1146,180
14,4,-2,-3,1046,177
14,5,-2,0,1044,177
14,6,-2,-1,1042,176
14,7,-3,3,1039,179
14,8,-1,3,1038,182
15,2,0,-5,974,150
15,3,5,0,979,150
15,4,5,4,984,154
15,5,4,4,988,158
15,6,4,5,992,163
15,7,3,7,995,170
15,8,2,7,997,177
15,9,4,8,1001,185
16,2,0,3,996,158
16,3,0,5,996,163
16,4,2,5,998,168
16,5,4,7,1002,175
16,6,4,11,1006,186
16,7,6,13,1012,199
17,2,-4,4,1062,294
18,2,4,-6,1058,314
18,3,7,-4,1065,310
18,4,5,-1,1070,309
18,5,6,1,1076,310
19,2,-15,-2,1140,320
19,3,-12,-7,1128,313
19,4,-6,-11,1122,302
20,5,3,2,1132,172
20,6,8,6,1140,178
20,7,10,14,1150,192
21,5,5,-3,1121,160
