trajectory,frame,velocity_x,velocity_y,x,y
1,2,8,-9,1025,1253
1,3,5,-15,1030,1238
1,4,7,-8,1037,1230
1,5,4,-12,1041,1218
1,6,5,-14,1046,1204
1,7,3,-15,1049,1189
1,8,7,-11,1056,1178
1,9,1,-12,1057,1166
1,10,1,-14,1058,1152
1,11,7,-14,1065,1138
2,2,-4,-2,438,856
2,3,-1,0,437,856
2,4,0,-2,437,854
2,5,0,2,437,856
2,6,1,4,438,860
3,2,-8,-29,1026,628
3,3,-5,-31,1021,597
3,4,-5,-25,1016,572
3,5,-3,-26,1013,546
3,6,-1,-29,1012,517
3,7,1,-24,1013,493
3,8,-1,-28,1012,465
4,2,2,1,652,1294
4,3,2,2,654,1296
4,4,0,0,654,1296
4,5,3,2,657,1298
4,6,1,2,658,1300
4,7,3,-2,661,1298
5,2,10,-20,1222,1232
5,3,4,-14,1226,1218
5,4,6,-16,1232,1202
5,5,5,-18,1237,1184
5,6,3,-14,1240,1170
5,7,2,-18,1242,1152
5,8,4,-19,1246,1133
5,9,3,-16,1249,1117
6,3,2,-29,1280,805
6,4,-4,-25,1276,780
7,2,4,-23,1022,554
7,3,-1,-28,1021,526
8,2,1,-2,673,1024
8,3,1,-3,674,1021
8,4,-2,-4,672,1017
8,5,4,-1,676,1016
8,6,-2,-2,674,1014
8,7,-4,-1,670,1013
8,8,-2,-1,668,1012
8,9,-3,4,665,1016
9,2,-6,9,522,1058
9,3,6,3,528,1061
9,4,-6,3,522,1064
9,5,2,5,524,1069
9,6,2,11,526,1080
10,2,6,11,504,1305
11,2,6,1,494,1417
11,3,2,-7,496,1410
11,4,2,-2,498,1408
11,5,0,1,498,1409
11,6,3,0,501,1409
12,2,0,-9,389,640
12,3,4,-8,393,632
12,4,5,-8,398,624
12,5,-1,-10,397,614
12,6,7,-9,404,605
12,7,1,-8,405,597
12,8,7,-5,412,592
12,9,2,-12,414,580
12,10,2,-11,416,569
12,11,5,-1,421,568
12,12,0,-12,421,556
12,13,4,-8,425,548
12,14,3,-7,428,541
12,15,5,-12,433,529
12,16,-1,-8,432,521
12,17,2,-8,434,513
12,18,6,-3,440,510
13,2,-9,-22,1209,372
13,3,-12,-24,1197,348
14,2,-7,-9,1401,396
14,3,-4,-3,1397,393
14,4,-8,-8,1389,385
14,5,-3,-13,1386,372
14,6,-8,-3,1378,369
14,7,-1,-11,1377,358
15,2,-13,-14,1277,832
15,3,3,-10,1280,822
16,2,-10,-19,1316,1002
16,3,0,-17,1316,985
16,4,-2,-16,1314,969
16,5,-1,-17,1313,952
16,6,-1,-16,1312,936
16,7,0,-16,1312,920
16,8,-3,-18,1309,902
16,9,7,-36,1316,866
17,2,1,-4,650,1293
17,3,2,4,652,1297
17,4,2,0,654,1297
17,5,2,-3,656,1294
17,6,1,0,657,1294
17,7,1,3,658,1297
17,8,0,1,658,1298
17,9,3,-1,661,1297
17,10,1,3,662,1300
17,11,-1,0,661,1300
17,12,8,4,669,1304
17,13,-1,2,668,1306
17,14,2,-1,670,1305
17,15,2,3,672,1308
18,2,1,8,765,1409
18,3,-1,1,764,1410
18,4,1,0,765,1410
18,5,-1,0,764,1410
18,6,-3,2,761,1412
18,7,0,-7,761,1405
19,2,4,4,934,1369
19,3,8,-11,942,1358
19,4,6,-1,948,1357
19,5,16,-9,964,1348
19,6,1,0,965,1348
19,7,4,-8,969,1340
19,8,5,-2,974,1338
19,9,8,-18,982,1320
19,10,3,4,985,1324
19,11,7,-2,992,1322
19,12,-3,-13,989,1309
19,13,8,-7,997,1302
19,14,7,-1,1004,1301
19,15,1,-8,1005,1293
19,16,3,-4,1008,1289
19,17,6,-3,1014,1286
19,18,3,-4,1017,1282
19,19,5,-5,1022,1277
19,20,2,-4,1024,1273
20,2,-4,5,896,930
20,3,-7,6,889,936
20,4,3,1,892,937
20,5,0,8,892,945
21,3,2,4,886,1080
21,4,3,5,889,1085
22,2,8,-4,726,708
22,3,11,4,737,712
22,4,9,6,746,718
22,5,4,6,750,724
22,6,10,1,760,725
22,7,5,8,765,733
22,8,5,4,770,737
22,9,4,5,774,742
22,10,10,2,784,744
22,11,2,6,786,750
22,12,6,6,792,756
22,13,1,4,793,760
22,14,4,4,797,764
22,15,3,5,800,769
22,16,-2,7,798,776
22,17,3,1,801,777
22,18,-3,12,798,789
22,19,2,3,800,792
22,20,1,8,801,800
22,21,-4,5,797,805
22,22,0,8,797,813
22,23,-3,8,794,821
22,24,-4,13,790,834
22,25,3,12,793,846
22,26,-3,10,790,856
23,2,2,-5,390,644
23,3,4,-11,394,633
23,4,4,-11,398,622
23,5,6,-10,404,612
23,6,-2,-8,402,604
23,7,3,-11,405,593
23,8,4,-3,409,590
23,9,8,-9,417,581
23,10,-1,-8,416,573
23,11,1,-7,417,566
23,12,7,-14,424,552
23,13,4,-12,428,540
23,14,1,0,429,540
23,15,1,-10,430,530
23,16,3,-9,433,521
23,17,4,-11,437,510
23,18,1,-5,438,505
24,2,-4,-20,1140,905
24,3,-6,-24,1134,881
24,4,-5,-23,1129,858
24,5,-9,-24,1120,834
24,6,-2,-24,1118,810
24,7,-5,-21,1113,789
24,8,-7,-25,1106,764
24,9,-8,-19,1098,745
24,10,-5,-27,1093,718
24,11,-5,-20,1088,698
24,12,-4,-20,1084,678
24,13,-3,-22,1081,656
24,14,-7,-20,1074,636
24,15,-8,-20,1066,616
24,16,-5,-23,1061,593
24,17,-8,-16,1053,577
24,18,-4,-20,1049,557
24,19,-5,-20,1044,537
24,20,-6,-17,1038,520
24,21,-2,-15,1036,505
25,2,-2,1,824,1325
25,3,5,9,829,1334
25,4,1,0,830,1334
25,5,2,4,832,1338
25,6,0,2,832,1340
25,7,0,4,832,1344
25,8,2,-2,834,1342
26,2,-2,8,842,1298
26,3,2,2,844,1300
26,4,-2,4,842,1304
26,5,2,4,844,1308
26,6,0,1,844,1309
26,7,-2,7,842,1316
26,8,2,6,844,1322
26,9,2,3,846,1325
26,10,4,1,850,1326
26,11,-2,3,848,1329
26,12,2,1,850,1330
27,2,7,1,836,1633
27,3,6,-12,842,1621
27,4,6,11,848,1632
27,5,4,-4,852,1628
27,6,4,-6,856,1622
27,7,6,-1,862,1621
27,8,7,-4,869,1617
27,9,4,-11,873,1606
27,10,0,0,873,1606
27,11,4,3,877,1609
28,2,16,-18,1102,1456
28,3,0,2,1102,1458
28,4,14,-13,1116,1445
28,5,1,-3,1117,1442
28,6,4,-13,1121,1429
28,7,8,-8,1129,1421
28,8,7,-9,1136,1412
28,9,5,-8,1141,1404
28,10,12,-16,1153,1388
28,11,1,-3,1154,1385
28,12,6,-9,1160,1376
28,13,2,-4,1162,1372
28,14,7,-10,1169,1362
28,15,5,-8,1174,1354
28,16,8,-10,1182,1344
28,17,2,-3,1184,1341
28,18,8,-11,1192,1330
28,19,5,-9,1197,1321
28,20,8,-12,1205,1309
28,21,1,-1,1206,1308
28,22,2,-7,1208,1301
28,23,4,-5,1212,1296
28,24,5,-4,1217,1292
28,25,4,-7,1221,1285
28,26,4,-8,1225,1277
28,27,-1,3,1224,1280
28,28,6,-12,1230,1268
28,29,2,0,1232,1268
28,30,1,0,1233,1268
28,31,3,-11,1236,1257
28,32,2,-4,1238,1253
28,33,3,-4,1241,1249
28,34,3,-11,1244,1238
28,35,1,2,1245,1240
28,36,4,-4,1249,1236
28,37,3,-4,1252,1232
28,38,1,-7,1253,1225
28,39,0,-9,1253,1216
28,40,1,-2,1254,1214
28,41,4,-8,1258,1206
28,42,4,-13,1262,1193
28,43,2,1,1264,1194
28,44,1,-8,1265,1186
28,45,3,-1,1268,1185
28,46,2,-7,1270,1178
28,47,2,-8,1272,1170
28,48,1,-2,1273,1168
28,49,4,-8,1277,1160
28,50,1,-12,1278,1148
28,51,0,-2,1278,1146
28,52,2,-5,1280,1141
28,53,0,1,1280,1142
28,54,4,-4,1284,1138
28,55,-2,-6,1282,1132
28,56,0,2,1282,1134
28,57,3,-4,1285,1130
29,2,0,-29,1280,580
29,3,6,-26,1286,554
29,4,-4,-25,1282,529
29,5,8,-23,1290,506
30,2,5,-11,478,469
30,3,0,-5,478,464
30,4,2,-6,480,458
30,5,5,-13,485,445
31,2,6,2,416,1004
31,3,2,2,418,1006
31,4,7,6,425,1012
31,5,4,1,429,1013
31,6,3,0,432,1013
31,7,2,4,434,1017
31,8,4,0,438,1017
31,9,6,3,444,1020
31,10,4,5,448,1025
32,2,2,-5,526,1045
32,3,-4,19,522,1064
32,4,0,5,522,1069
32,5,-1,0,521,1069
32,6,4,11,525,1080
33,2,6,9,502,1305
33,3,8,5,510,1310
33,4,3,8,513,1318
33,5,5,8,518,1326
34,2,6,-11,634,1577
34,3,3,7,637,1584
34,4,-1,-6,636,1578
34,5,0,-10,636,1568
34,6,1,-2,637,1566
34,7,3,-4,640,1562
34,8,2,-1,642,1561
34,9,2,-4,644,1557
34,10,2,-5,646,1552
34,11,2,1,648,1553
34,12,0,-11,648,1542
34,13,4,-5,652,1537
34,14,4,-4,656,1533
34,15,0,-5,656,1528
34,16,8,4,664,1532
34,17,-2,-4,662,1528
34,18,6,-6,668,1522
34,19,4,-1,672,1521
34,20,2,-3,674,1518
35,2,13,-14,977,1342
35,3,9,-10,986,1332
35,4,7,-6,993,1326
35,5,5,-6,998,1320
35,6,4,-12,1002,1308
35,7,7,-4,1009,1304
35,8,15,-22,1024,1282
36,4,7,-5,1013,1361
36,5,11,-16,1024,1345
36,6,-3,-3,1021,1342
36,7,5,-6,1026,1336
36,8,4,-19,1030,1317
36,9,2,-3,1032,1314
36,10,10,-17,1042,1297
36,11,4,-9,1046,1288
36,12,-1,4,1045,1292
36,13,12,-20,1057,1272
37,2,13,-10,962,1328
37,3,6,-8,968,1320
37,4,6,-7,974,1313
37,5,7,-8,981,1305
38,2,8,-14,1028,1246
38,3,2,-9,1030,1237
38,4,4,-12,1034,1225
38,5,12,-23,1046,1202
38,6,4,-12,1050,1190
38,7,0,-8,1050,1182
38,8,6,-12,1056,1170
38,9,8,-30,1064,1140
38,10,25,-52,1089,1088
39,2,12,0,758,1060
39,3,8,2,766,1062
39,4,4,3,770,1065
39,5,8,3,778,1068
39,6,3,-2,781,1066
39,7,7,0,788,1066
39,8,5,7,793,1073
40,3,-7,-23,1002,885
40,4,-13,-15,989,870
40,5,-3,-14,986,856
41,2,-7,-25,957,708
42,2,3,-5,377,681
42,3,3,-9,380,672
42,4,5,-10,385,662
42,5,3,-9,388,653
42,6,2,-11,390,642
42,7,7,-6,397,636
42,8,3,-8,400,628
42,9,2,-7,402,621
42,10,3,-11,405,610
42,11,5,-6,410,604
42,12,3,-11,413,593
42,13,4,-4,417,589
42,14,4,-12,421,577
42,15,7,1,428,578
43,2,3,6,416,1002
43,3,5,6,421,1008
43,4,4,2,425,1010
43,5,1,0,426,1010
43,6,7,3,433,1013
43,7,4,0,437,1013
43,8,4,5,441,1018
43,9,3,3,444,1021
43,10,4,4,448,1025
44,2,11,10,588,1216
45,2,6,-3,652,1290
45,3,2,2,654,1292
45,4,-1,2,653,1294
45,5,3,0,656,1294
45,6,4,-5,660,1289
45,7,4,4,664,1293
46,4,11,-1,921,1476
46,5,0,-4,921,1472
46,6,12,-7,933,1465
46,7,4,-1,937,1464
47,2,0,-15,881,801
47,3,0,-12,881,789
48,2,4,-4,800,677
48,3,2,-7,802,670
49,2,-8,-34,1026,622
49,3,-2,-32,1024,590
49,4,-7,-24,1017,566
49,5,-3,-20,1014,546
49,6,-4,-26,1010,520
49,7,3,-28,1013,492
49,8,0,-40,1013,452
50,2,0,-24,1024,554
50,3,2,-24,1026,530
50,4,2,-28,1028,502
50,5,-2,-24,1026,478
50,6,3,-24,1029,454
51,2,8,-15,1025,1250
51,3,5,-10,1030,1240
51,4,7,-14,1037,1226
51,5,5,-10,1042,1216
51,6,4,-11,1046,1205
51,7,2,-13,1048,1192
51,8,4,-14,1052,1178
51,9,6,-17,1058,1161
51,10,6,-12,1064,1149
51,11,1,-11,1065,1138
52,2,7,-22,1200,1194
52,3,4,-17,1204,1177
52,4,1,-16,1205,1161
52,5,1,-20,1206,1141
53,2,-3,2,502,772
53,3,-5,0,497,772
53,4,-5,4,492,776
53,5,-7,0,485,776
53,6,-3,2,482,778
53,7,-6,3,476,781
54,2,26,-8,756,621
54,3,5,-7,761,614
54,4,8,-2,769,612
55,2,8,-1,760,1060
55,3,4,4,764,1064
55,4,8,-3,772,1061
55,5,6,4,778,1065
55,6,2,1,780,1066
55,7,5,-4,785,1062
56,2,8,-8,880,1112
56,3,6,1,886,1113
56,4,4,-3,890,1110
56,5,12,-2,902,1108
56,6,8,-6,910,1102
56,7,4,-1,914,1101
56,8,3,0,917,1101
57,2,-2,-24,950,908
57,3,-6,-18,944,890
58,2,-8,-21,1124,784
58,3,-6,-14,1118,770
58,4,-8,-21,1110,749
58,5,-5,-23,1105,726
59,6,-3,-10,1021,1046
59,7,-5,-21,1016,1025
60,6,-2,-17,976,1053
60,7,-2,-19,974,1034
60,8,-2,-4,972,1030
60,9,-4,-16,968,1014
61,6,-2,-16,1098,1024
61,7,-4,-23,1094,1001
62,7,1,5,890,941
62,8,-1,4,889,945
62,9,1,-1,890,944
62,10,2,1,892,945
62,11,-2,-1,890,944
62,12,2,4,892,948
62,13,-2,9,890,957
63,4,-9,-20,993,869
63,5,-8,-12,985,857
64,5,-1,-25,1336,460
64,6,-3,-27,1333,433
64,7,-3,-21,1330,412
65,5,4,-23,1333,609
65,6,0,-33,1333,576
65,7,3,-23,1336,553
65,8,4,-25,1340,528
65,9,-6,-26,1334,502
66,8,2,-11,450,453
66,9,-5,-4,445,449
66,10,4,-13,449,436
66,11,1,-10,450,426
67,3,1,0,806,1054
67,4,-6,-1,800,1053
67,5,0,4,800,1057
68,2,3,8,548,1334
69,2,1,-1,818,868
69,3,11,2,829,870
70,2,7,-18,1232,1328
70,3,10,-20,1242,1308
70,4,6,-3,1248,1305
70,5,5,-12,1253,1293
70,6,7,-20,1260,1273
70,7,6,-7,1266,1266
70,8,6,-16,1272,1250
70,9,4,-13,1276,1237
70,10,1,-11,1277,1226
70,11,7,-21,1284,1205
70,12,2,-4,1286,1201
70,13,-1,-8,1285,1193
70,14,3,-13,1288,1180
70,15,4,-18,1292,1162
70,16,0,-22,1292,1140
70,17,2,-3,1294,1137
70,18,3,-19,1297,1118
70,19,1,-8,1298,1110
70,20,2,-5,1300,1105
70,21,2,-5,1302,1100
70,22,3,-10,1305,1090
70,23,-1,-13,1304,1077
70,24,1,-4,1305,1073
71,2,0,-36,1200,733
71,3,-12,-9,1188,724
72,2,-3,3,893,901
72,3,-3,1,890,902
72,4,-6,3,884,905
72,5,-2,4,882,909
72,6,2,0,884,909
72,7,1,8,885,917
72,8,4,0,889,917
72,9,0,0,889,917
